2025-03-07 00:51:19.0107 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7042 
2025-03-07 00:51:19.0434 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5142 
2025-03-07 00:51:19.0459 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-07 00:51:19.0482 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-07 00:51:19.0482 | INFO | Microsoft.Hosting.Lifetime | Content root path: /Users/swapnilgupta/Documents/GitHub/greetingApp/HelloGreetingApplication/ 
2025-03-07 00:51:20.1518 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/GreetingApp - - 
2025-03-07 00:51:20.1705 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'HelloGreetingApplication.Controllers.GreetingAppController.Get (HelloGreetingApplication)' 
2025-03-07 00:51:20.1974 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Get", controller = "GreetingApp"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Get() on controller HelloGreetingApplication.Controllers.GreetingAppController (HelloGreetingApplication). 
2025-03-07 00:51:20.2008 | INFO | HelloGreetingApplication.Controllers.GreetingAppController | GET request received for GreetingAppController. 
2025-03-07 00:51:20.2014 | INFO | HelloGreetingApplication.Controllers.GreetingAppController | GET response sent successfully. 
2025-03-07 00:51:20.2047 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing OkObjectResult, writing value of type 'modelLayer.model.ResponseModel`1[[System.String, System.Private.CoreLib, Version=6.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'. 
2025-03-07 00:51:20.2192 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action HelloGreetingApplication.Controllers.GreetingAppController.Get (HelloGreetingApplication) in 18.8022ms 
2025-03-07 00:51:20.2192 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'HelloGreetingApplication.Controllers.GreetingAppController.Get (HelloGreetingApplication)' 
2025-03-07 00:51:20.2204 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET https://localhost:7042/GreetingApp - - - 200 - application/json;+charset=utf-8 70.3365ms 
2025-03-07 11:08:22.2972 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7042 
2025-03-07 11:08:22.3308 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5142 
2025-03-07 11:08:22.3334 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
